### Test phase results ###
trialnum;id;wav1;wav2;correct;value;rt;correctness
1;1;bada1.wav;bada3.wav;1;1;3611;1
2;2;bada2.wav;bada3.wav;1;1;1974;1
3;4;bada4.wav;bada3.wav;2;2;348;1
4;5;bada5.wav;bada3.wav;2;2;290;1
5;3;bada3.wav;bada3.wav;1;1;34;1
