### Test phase results ###
trialnum;id;type;sndfn;value
1;5;S5;bada5.wav;1
2;2;S2;bada2.wav;0
3;1;S1;bada1.wav;1
4;3;S3;bada3.wav;1
5;4;S4;bada4.wav;-1
